[1, u'mo', 12, 30, 14, 30, u'ETB 234']
[1, u'mo', 14, 30, 16, 30, u'ETB 234']
[1, u'mo', 16, 30, 18, 30, u'ETB B104']
[1, u'tu', 8, 30, 10, 30, u'ETB B104']
[1, u'tu', 10, 30, 12, 30, u'ETB B104']
[2, u'mo', 10, 30, 12, 30, u'T13 107']
[2, u'we', 8, 30, 10, 30, u'ETB 238']
[2, u'mo', 12, 30, 14, 30, u'T13 106']
[2, u'we', 12, 30, 14, 30, u'T13 106']
[2, u'we', 16, 30, 18, 30, u'ETB 235']
[2, u'fr', 9, 30, 11, 30, u'ETB 238']
[2, u'tu', 16, 30, 18, 30, u'ETB 238']
[2, u'th', 16, 30, 18, 30, u'ETB 238']
[1, u'mo', 9, 30, 11, 30, u'ABB 163']
[1, u'th', 9, 30, 11, 30, u'ABB 163']
[1, u'mo', 12, 30, 14, 30, u'T13 106']
[1, u'th', 12, 30, 14, 30, u'T13 106']
[1, u'mo', 14, 30, 16, 30, u'T13 105']
[1, u'th', 14, 30, 16, 30, u'T13 105']
[1, u'mo', 16, 30, 18, 30, u'T13 106']
[1, u'th', 16, 30, 18, 30, u'T13 106']
[2, u'mo', 8, 30, 10, 30, u'ETB 238']
[2, u'we', 10, 30, 12, 30, u'ETB 238']
[2, u'mo', 10, 30, 12, 30, u'ITB 139']
[2, u'we', 8, 30, 10, 30, u'T13 107']
[2, u'tu', 9, 30, 11, 30, u'T13 105']
[2, u'th', 9, 30, 11, 30, u'T13 105']
[2, u'tu', 12, 30, 14, 30, u'T13 105']
[2, u'th', 12, 30, 14, 30, u'T13 105']
[2, u'mo', 14, 30, 16, 30, u'T13 105']
[2, u'we', 14, 30, 16, 30, u'T13 105']
[2, u'tu', 14, 30, 16, 20, u'T13 105']
[2, u'th', 14, 30, 16, 20, u'T13 105']
[1, u'tu', 8, 30, 10, 30, u'T13 106']
[1, u'th', 9, 30, 11, 30, u'T13 105']
[1, u'tu', 10, 30, 12, 30, u'T13 105']
[1, u'th', 12, 30, 14, 30, u'T13 105']
[1, u'tu', 15, 30, 17, 30, u'T13 107']
[1, u'th', 16, 30, 18, 20, u'T13 105']
[1, u'we', 8, 30, 10, 30, u'ETB 238']
[1, u'fr', 9, 30, 11, 30, u'T13 106']
[2, u'mo', 12, 30, 14, 30, u'ETB B104']
[2, u'mo', 14, 30, 16, 20, u'ETB 234']
[2, u'mo', 16, 30, 18, 30, u'ETB B104']
[2, u'tu', 9, 30, 11, 30, u'ETB B104']
[2, u'tu', 12, 30, 14, 30, u'ETB 234']
[1, u'we', 11, 30, 13, 30, u'MARC 266']
[1, u'tu', 14, 30, 16, 30, u'BSB 106']
[1, u'fr', 15, 30, 17, 30, u'BSB 106']
[1, u'tu', 14, 30, 16, 30, u'ABB 163']
[1, u'fr', 14, 30, 16, 30, u'ABB 163']
[1, u'tu', 8, 30, 10, 30, u'BSB 106']
[1, u'fr', 8, 30, 10, 30, u'BSB 106']
[1, u'mo', 9, 30, 11, 30, u'JHE A102']
[1, u'we', 9, 30, 11, 30, u'JHE A102']
[2, u'tu', 16, 30, 17, 20, u'MARC 269']
[2, u'fr', 8, 30, 10, 20, u'MARC 269']
[2, u'th', 16, 30, 17, 30, u'MARC 269']
[2, u'fr', 10, 30, 12, 30, u'MARC 269']
[2, u'tu', 17, 30, 18, 30, u'MARC 269']
[2, u'fr', 12, 30, 14, 30, u'MARC 269']
[2, u'mo', 9, 30, 11, 30, u'JHE A102']
[2, u'we', 9, 30, 11, 30, u'BSB 108']
[2, u'mo', 9, 30, 11, 30, u'BSB 117']
[2, u'we', 9, 30, 11, 30, u'ABB 163']
[2, u'mo', 12, 30, 14, 30, u'BSB 106']
[2, u'we', 14, 30, 16, 20, u'ABB B118']
[2, u'we', 18, 30, 21, 30, u'MARC 267']
[1, u'th', 15, 30, 17, 30, u'ETB 228']
[1, u'th', 13, 30, 15, 20, u'ETB 228']
[1, u'fr', 14, 30, 16, 30, u'JHE 210']
[1, u'tu', 14, 30, 17, 30, u'MARC 269']
[1, u'we', 10, 30, 13, 30, u'MARC 269']
[1, u'th', 18, 30, 21, 30, u'ETB 238']
[1, u'th', 18, 30, 21, 30, u'ETB 238']
[2, u'tu', 18, 30, 21, 30, u'ETB 238']
[2, u'tu', 18, 30, 21, 30, u'ETB 238']
[2, u'tu', 18, 30, 21, 30, u'KTH B132']
[2, u'tu', 18, 30, 21, 30, u'KTH B132']
[1, u'tu', 11, 30, 13, 30, u'IWC E201']
[1, u'sa', 9, 0, 12, 0, u'ETB 238']
[1, u'sa', 9, 0, 12, 0, u'ETB 238']
[2, u'sa', 9, 0, 12, 0, u'MARC 266']
[2, u'sa', 9, 0, 12, 0, u'MARC 266']
[1, u'fr', 18, 30, 21, 30, u'ETB 235']
[1, u'we', 18, 30, 21, 30, u'ETB 230']
[1, u'fr', 18, 30, 21, 30, u'ETB 235']
[1, u'we', 18, 30, 21, 30, u'ETB 230']
[2, u'fr', 18, 30, 21, 30, u'ETB 235']
[2, u'fr', 18, 30, 21, 30, u'ETB 235']
[2, u'th', 18, 30, 21, 30, u'ETB 228']
[1, u'we', 18, 30, 21, 30, u'ETB B104']
[1, u'we', 18, 30, 21, 30, u'ETB B104']
[2, u'we', 18, 30, 21, 30, u'ETB B104']
[2, u'we', 18, 30, 21, 30, u'ETB B104']
[1, u'th', 18, 30, 21, 30, u'ETB 228']
[1, u'th', 18, 30, 21, 30, u'ETB 228']
[2, u'th', 18, 30, 21, 30, u'ETB 227']
[2, u'th', 18, 30, 21, 30, u'ETB 227']
[2, u'tu', 9, 30, 11, 20, u'ETB 237']
[1, u'mo', 12, 30, 14, 20, u'BSB 108']
[1, u'tu', 13, 30, 14, 20, u'BSB 108']
[2, u'we', 19, 0, 22, 0, u'ETB 238']
[2, u'mo', 10, 30, 11, 20, u'JHE A101']
[2, u'we', 9, 30, 11, 20, u'JHE A101']
[1, u'mo', 19, 0, 22, 0, u'MDCL 1009']
[1, u'fr', 8, 30, 11, 30, u'CNH 102']
[1, u'we', 19, 0, 22, 0, u'ETB 238']
[1, u'mo', 12, 30, 14, 20, u'KTH B105']
[1, u'th', 12, 30, 13, 20, u'KTH B105']
[3, u'mo', 10, 30, 11, 20, u'CNH 103']
[3, u'we', 10, 30, 11, 20, u'CNH 103']
[3, u'th', 10, 30, 11, 20, u'CNH 103']
[1, u'mo', 12, 30, 14, 20, u'KTH B105']
[1, u'th', 12, 30, 13, 20, u'KTH B105']
[1, u'mo', 16, 30, 17, 20, u'MDCL 1305']
[1, u'we', 16, 30, 17, 20, u'MDCL 1305']
[1, u'th', 16, 30, 17, 20, u'MDCL 1305']
[1, u'tu', 11, 30, 12, 20, u'MDCL 1305']
[1, u'th', 11, 30, 12, 20, u'MDCL 1305']
[1, u'fr', 11, 30, 12, 20, u'MDCL 1305']
[2, u'tu', 14, 30, 15, 20, u'MDCL 1305']
[2, u'th', 14, 30, 15, 20, u'MDCL 1305']
[2, u'fr', 14, 30, 15, 20, u'MDCL 1305']
[1, u'mo', 15, 30, 16, 20, u'HH 109']
[1, u'tu', 16, 30, 17, 20, u'HH 109']
[1, u'th', 15, 30, 16, 20, u'HH 109']
[1, u'tu', 14, 30, 15, 20, u'HH 109']
[1, u'th', 14, 30, 15, 20, u'HH 109']
[1, u'fr', 14, 30, 15, 20, u'HH 109']
[2, u'mo', 10, 30, 11, 20, u'ITB AB102']
[2, u'we', 10, 30, 11, 20, u'ITB AB102']
[2, u'th', 10, 30, 11, 20, u'ITB AB102']
[1, u'mo', 9, 30, 10, 20, u'BSB B135']
[1, u'tu', 10, 30, 11, 20, u'BSB B135']
[1, u'th', 9, 30, 10, 20, u'BSB B135']
[1, u'mo', 11, 30, 12, 20, u'HH 302']
[1, u'we', 11, 30, 12, 20, u'HH 302']
[1, u'fr', 13, 30, 14, 20, u'HH 302']
[1, u'we', 19, 0, 22, 0, u'HH 109']
[2, u'mo', 19, 0, 22, 0, u'HH 302']
[1, u'mo', 9, 30, 10, 20, u'TSH B128']
[1, u'tu', 10, 30, 11, 20, u'TSH B128']
[1, u'th', 9, 30, 10, 20, u'TSH B128']
[1, u'tu', 14, 30, 15, 20, u'MDCL 1105']
[1, u'th', 14, 30, 15, 20, u'MDCL 1105']
[1, u'fr', 14, 30, 15, 20, u'MDCL 1105']
[2, u'mo', 8, 30, 9, 20, u'PC 155']
[2, u'we', 8, 30, 9, 20, u'PC 155']
[2, u'fr', 10, 30, 11, 20, u'PC 155']
[1, u'tu', 14, 30, 15, 20, u'BSB 120']
[1, u'th', 14, 30, 15, 20, u'BSB 120']
[1, u'fr', 14, 30, 15, 20, u'BSB 120']
[1, u'mo', 9, 30, 10, 20, u'TSH B128']
[1, u'tu', 10, 30, 11, 20, u'TSH B128']
[1, u'th', 9, 30, 10, 20, u'TSH B128']
[1, u'tu', 14, 30, 15, 20, u'MDCL 1105']
[1, u'th', 14, 30, 15, 20, u'MDCL 1105']
[1, u'fr', 14, 30, 15, 20, u'MDCL 1105']
[2, u'mo', 11, 30, 12, 20, u'HSC 1A1']
[2, u'we', 11, 30, 12, 20, u'HSC 1A1']
[2, u'fr', 13, 30, 14, 20, u'HSC 1A1']
[2, u'mo', 10, 30, 11, 20, u'PC 155']
[2, u'we', 10, 30, 11, 20, u'PC 155']
[2, u'th', 10, 30, 11, 20, u'PC 155']
[1, u'tu', 11, 30, 12, 20, u'HH 217']
[1, u'th', 11, 30, 12, 20, u'HH 217']
[1, u'fr', 11, 30, 12, 20, u'HH 217']
[2, u'we', 13, 30, 15, 20, u'HH 207']
[2, u'fr', 16, 30, 17, 20, u'HH 207']
[2, u'tu', 11, 30, 12, 20, u'HH 104']
[2, u'th', 11, 30, 12, 20, u'HH 104']
[2, u'fr', 11, 30, 12, 20, u'HH 104']
[1, u'tu', 8, 30, 9, 20, u'HH 102']
[1, u'th', 8, 30, 9, 20, u'HH 102']
[1, u'fr', 8, 30, 9, 20, u'HH 102']
[1, u'tu', 9, 30, 10, 20, u'JHE 376']
[1, u'fr', 9, 30, 10, 20, u'JHE 376']
[2, u'tu', 9, 30, 10, 20, u'TSH 120']
[2, u'fr', 9, 30, 10, 20, u'TSH 120']
[1, u'th', 12, 30, 16, 20, u'LRW 3017']
[2, u'th', 12, 30, 16, 30, u'TSH 201']
[1, u'tu', 11, 30, 13, 20, u'TSH 203']
[2, u'tu', 12, 30, 14, 20, u'TSH 203']
[2, u'mo', 8, 30, 10, 20, u'KTH B132']
[2, u'th', 8, 30, 9, 20, u'KTH B132']
[1, u'tu', 14, 30, 16, 20, u'LRW 1057']
[1, u'th', 14, 30, 15, 20, u'LRW 1057']
[2, u'mo', 14, 30, 17, 20, u'TSH 203']
[1, u'th', 9, 30, 12, 20, u'TSH 203']
[2, u'we', 14, 30, 17, 20, u'TSH 203']
[2, u'we', 9, 30, 10, 20, u'BSB 120']
[2, u'fr', 9, 30, 11, 20, u'BSB 120']
[1, u'mo', 11, 30, 14, 20, u'TSH 206']
[2, u'tu', 10, 30, 13, 20, u'TSH 201']
[1, u'we', 9, 30, 12, 20, u'TSH 203']
[3, u'fr', 13, 30, 16, 20, u'TSH 201']
[3, u'fr', 13, 30, 16, 20, u'TSH 203']
[1, u'we', 14, 30, 17, 20, u'TSH 201']
[3, u'we', 11, 30, 14, 20, u'TSH 201']
[1, u'fr', 14, 30, 17, 20, u'CNH 102']
[2, u'we', 12, 30, 13, 20, u'KTH B105']
[2, u'fr', 11, 30, 13, 20, u'KTH B105']
[3, u'we', 19, 0, 22, 0, u'CNH 106']
[1, u'we', 9, 30, 11, 20, u'T13 125']
[1, u'fr', 14, 30, 17, 20, u'CNH 102']
[2, u'we', 12, 30, 13, 20, u'KTH B105']
[2, u'fr', 11, 30, 13, 20, u'KTH B105']
[2, u'tu', 14, 30, 15, 20, u'CNH 106']
[2, u'tu', 15, 30, 17, 20, u'CNH 102']
[2, u'mo', 11, 30, 14, 20, u'KTH 107']
[3, u'mo', 19, 0, 22, 0, u'HSC 1A6']
[1, u'mo', 16, 30, 17, 20, u'IWC E201']
[1, u'we', 15, 30, 17, 20, u'IWC E201']
[2, u'mo', 12, 30, 14, 20, u'ETB 230']
[2, u'we', 13, 30, 14, 20, u'ETB 230']
[1, u'we', 19, 0, 20, 0, u'TSH 120']
[2, u'mo', 19, 0, 20, 0, u'CNH 104']
[3, u'mo', 14, 30, 15, 20, u'UH 112']
[3, u'we', 19, 0, 20, 0, u'MDCL 1010']
[1, u'we', 14, 30, 15, 20, u'T13 125']
[1, u'mo', 19, 0, 22, 0, u'LRW 1055']
[1, u'tu', 14, 30, 17, 20, u'BSB 136']
[3, u'mo', 14, 30, 17, 20, u'KTH 308']
[3, u'mo', 19, 0, 22, 0, u'KTH 308']
[2, u'tu', 14, 30, 15, 20, u'LRW 1055']
[2, u'th', 19, 0, 20, 0, u'KTH B132']
[2, u'we', 14, 30, 17, 20, u'ABB 136']
[1, u'th', 14, 30, 17, 20, u'LRW 1055']
[2, u'we', 11, 30, 14, 20, u'LRW 1055']
[3, u'mo', 14, 30, 17, 20, u'UH B116']
[3, u'mo', 14, 30, 17, 20, u'KTH 107']
[3, u'mo', 18, 30, 21, 30, u'GS 101']
[1, u'fr', 9, 0, 16, 0, u'KTH 308']
[1, u'th', 19, 0, 22, 0, u'KTH B132']
[2, u'th', 11, 30, 14, 20, u'BSB 136']
[2, u'th', 14, 30, 15, 20, u'LRW 1055']
[1, u'we', 14, 30, 17, 20, u'LRW 1056']
[2, u'we', 19, 0, 22, 0, u'KTH B103']
[2, u'tu', 19, 0, 22, 0, u'LRW 1055']
[1, u'tu', 19, 0, 20, 0, u'BSB 137']
[1, u'mo', 13, 30, 14, 20, u'HH 109']
[1, u'we', 13, 30, 14, 20, u'HH 109']
[1, u'th', 13, 30, 14, 20, u'HH 109']
[1, u'mo', 13, 30, 14, 20, u'HH 109']
[1, u'we', 13, 30, 14, 20, u'HH 109']
[1, u'th', 13, 30, 14, 20, u'HH 109']
[2, u'tu', 15, 30, 16, 20, u'ITB AB102']
[2, u'we', 15, 30, 16, 20, u'ITB AB102']
[2, u'fr', 15, 30, 16, 20, u'ITB AB102']
[2, u'tu', 15, 30, 16, 20, u'ITB AB102']
[2, u'we', 15, 30, 16, 20, u'ITB AB102']
[2, u'fr', 15, 30, 16, 20, u'ITB AB102']
[2, u'mo', 12, 30, 13, 20, u'HSC 1A6']
[2, u'tu', 13, 30, 14, 20, u'HSC 1A6']
[2, u'th', 12, 30, 13, 20, u'HSC 1A6']
[2, u'tu', 13, 30, 14, 20, u'T13 125']
[2, u'tu', 13, 30, 14, 20, u'T13 125']
[2, u'mo', 15, 30, 16, 20, u'T13 125']
[2, u'tu', 16, 30, 17, 20, u'T13 125']
[2, u'th', 15, 30, 16, 20, u'T13 125']
[2, u'mo', 15, 30, 16, 20, u'T13 125']
[2, u'tu', 16, 30, 17, 20, u'T13 125']
[2, u'th', 15, 30, 16, 20, u'T13 125']
[1, u'tu', 15, 30, 16, 20, u'CNH 104']
[1, u'we', 15, 30, 16, 20, u'CNH 104']
[1, u'fr', 15, 30, 16, 20, u'CNH 104']
[1, u'tu', 15, 30, 16, 20, u'CNH 104']
[1, u'we', 15, 30, 16, 20, u'CNH 104']
[1, u'fr', 15, 30, 16, 20, u'CNH 104']
[2, u'mo', 11, 30, 12, 20, u'BSB 147']
[2, u'we', 11, 30, 12, 20, u'BSB 147']
[2, u'fr', 13, 30, 14, 20, u'BSB 147']
[2, u'mo', 11, 30, 12, 20, u'BSB 147']
[2, u'we', 11, 30, 12, 20, u'BSB 147']
[2, u'fr', 13, 30, 14, 20, u'BSB 147']
[1, u'mo', 16, 30, 17, 20, u'TSH B128']
[1, u'we', 16, 30, 17, 20, u'TSH B128']
[1, u'th', 16, 30, 17, 20, u'TSH B128']
[1, u'mo', 16, 30, 17, 20, u'TSH B128']
[1, u'we', 16, 30, 17, 20, u'TSH B128']
[1, u'th', 16, 30, 17, 20, u'TSH B128']
[2, u'mo', 14, 30, 15, 20, u'T13 125']
[2, u'we', 14, 30, 15, 20, u'T13 125']
[2, u'fr', 16, 30, 17, 20, u'T13 125']
[2, u'mo', 14, 30, 15, 20, u'T13 125']
[2, u'we', 14, 30, 15, 20, u'T13 125']
[2, u'fr', 16, 30, 17, 20, u'T13 125']
[1, u'mo', 11, 30, 12, 20, u'T13 125']
[1, u'we', 11, 30, 12, 20, u'T13 125']
[1, u'fr', 13, 30, 14, 20, u'T13 125']
[1, u'mo', 11, 30, 12, 20, u'T13 125']
[1, u'we', 11, 30, 12, 20, u'T13 125']
[1, u'fr', 13, 30, 14, 20, u'T13 125']
[1, u'we', 12, 30, 13, 20, u'T13 127']
[1, u'fr', 12, 30, 13, 20, u'T13 127']
[1, u'we', 12, 30, 13, 20, u'T13 127']
[1, u'fr', 12, 30, 13, 20, u'T13 127']
[2, u'mo', 13, 30, 14, 20, u'T13 125']
[2, u'mo', 13, 30, 14, 20, u'T13 125']
[2, u'tu', 12, 30, 13, 20, u'T13 127']
[2, u'we', 12, 30, 13, 20, u'T13 127']
[2, u'fr', 12, 30, 13, 20, u'T13 127']
[1, u'tu', 11, 30, 12, 20, u'T13 125']
[1, u'th', 11, 30, 12, 20, u'T13 125']
[1, u'fr', 11, 30, 12, 20, u'T13 125']
[2, u'mo', 12, 30, 13, 20, u'JHE 210']
[2, u'tu', 13, 30, 14, 20, u'JHE 210']
[2, u'th', 12, 30, 13, 20, u'JHE 210']
[2, u'tu', 8, 30, 9, 20, u'KTH 104']
[2, u'fr', 8, 30, 10, 20, u'KTH 104']
[1, u'tu', 16, 30, 17, 20, u'KTH B132']
[1, u'th', 16, 30, 18, 20, u'KTH B132']
[2, u'th', 10, 30, 11, 20, u'BSB 147']
[1, u'tu', 12, 30, 14, 20, u'ABB 271']
[1, u'fr', 12, 30, 13, 20, u'ABB 271']
[1, u'mo', 17, 30, 18, 20, u'BSB 119']
[1, u'we', 17, 30, 18, 20, u'BSB 119']
[1, u'th', 17, 30, 18, 20, u'BSB 119']
[1, u'mo', 10, 30, 11, 20, u'TSH B128']
[1, u'we', 10, 30, 11, 20, u'TSH B128']
[1, u'th', 10, 30, 11, 20, u'TSH B128']
[1, u'mo', 15, 30, 17, 20, u'BSB 119']
[1, u'we', 16, 30, 17, 20, u'BSB 119']
[2, u'mo', 16, 30, 17, 20, u'BSB 119']
[2, u'th', 16, 30, 17, 20, u'BSB 119']
[2, u'mo', 17, 30, 18, 20, u'ITB 137']
[2, u'we', 17, 30, 18, 20, u'ITB 137']
[2, u'th', 17, 30, 18, 20, u'ITB 137']
[1, u'tu', 9, 30, 10, 20, u'ITB AB102']
[1, u'we', 9, 30, 10, 20, u'ITB AB102']
[1, u'fr', 9, 30, 10, 20, u'ITB AB102']
[3, u'mo', 19, 0, 22, 0, u'ETB 237']
[2, u'mo', 15, 30, 16, 20, u'TSH B105']
[2, u'tu', 16, 30, 17, 20, u'TSH B105']
[2, u'th', 15, 30, 16, 20, u'TSH B105']
[1, u'mo', 12, 30, 13, 20, u'ITB AB102']
[1, u'tu', 13, 30, 14, 20, u'ITB AB102']
[1, u'th', 12, 30, 13, 20, u'ITB AB102']
[1, u'tu', 12, 30, 13, 20, u'KTH B135']
[1, u'we', 12, 30, 13, 20, u'KTH B135']
[1, u'fr', 12, 30, 13, 20, u'KTH B135']
[2, u'fr', 9, 30, 11, 20, u'T13 127']
[1, u'tu', 15, 30, 17, 20, u'BSB 137']
[1, u'fr', 15, 30, 16, 20, u'BSB 137']
[2, u'mo', 13, 30, 14, 20, u'ABB 136']
[2, u'we', 13, 30, 14, 20, u'ABB 136']
[2, u'th', 13, 30, 14, 20, u'ABB 136']
[2, u'mo', 12, 30, 13, 20, u'ITB AB102']
[2, u'tu', 13, 30, 14, 20, u'ITB AB102']
[2, u'th', 12, 30, 13, 20, u'ITB AB102']
[3, u'tu', 10, 30, 11, 20, u'ETB 235']
[3, u'th', 9, 30, 11, 20, u'ETB 235']
[1, u'tu', 14, 30, 15, 20, u'ITB 137']
[1, u'fr', 14, 30, 15, 20, u'ITB 137']
[2, u'we', 19, 0, 21, 0, u'ITB AB102']
[1, u'tu', 16, 30, 17, 20, u'LRW B1007']
[1, u'th', 15, 30, 16, 20, u'LRW B1007']
[1, u'tu', 19, 0, 21, 0, u'ITB AB102']
[2, u'mo', 11, 30, 12, 20, u'JHE 376']
[2, u'we', 11, 30, 12, 20, u'JHE 376']
[2, u'tu', 19, 0, 21, 0, u'ITB AB102']
[1, u'mo', 14, 30, 15, 20, u'MDCL 1309']
[1, u'we', 14, 30, 15, 20, u'MDCL 1309']
[2, u'mo', 12, 30, 13, 20, u'BSB B136']
[2, u'th', 12, 30, 13, 20, u'BSB B136']
[1, u'mo', 9, 30, 10, 20, u'KTH B135']
[1, u'th', 9, 30, 10, 20, u'KTH B135']
[2, u'tu', 19, 0, 21, 0, u'KTH B135']
[2, u'tu', 15, 30, 17, 20, u'TSH B106']
[2, u'fr', 15, 30, 16, 20, u'TSH B106']
[1, u'tu', 9, 30, 11, 20, u'MDCL 1110']
[1, u'fr', 9, 30, 10, 20, u'MDCL 1110']
[1, u'mo', 19, 0, 21, 0, u'BSB B135']
[2, u'mo', 17, 30, 18, 20, u'BSB B135']
[2, u'th', 17, 30, 18, 20, u'BSB B135']
[1, u'tu', 19, 0, 21, 0, u'MDCL 1309']
[2, u'mo', 16, 30, 17, 20, u'ITB 137']
[2, u'th', 16, 30, 17, 20, u'ITB 137']
[1, u'mo', 14, 30, 15, 20, u'ABB 102']
[1, u'we', 14, 30, 15, 20, u'ABB 102']
[2, u'th', 19, 0, 21, 0, u'MDCL 1309']
[1, u'tu', 11, 30, 12, 20, u'ABB 102']
[1, u'th', 11, 30, 12, 20, u'ABB 102']
[1, u'mo', 9, 30, 10, 20, u'BSB B136']
[1, u'th', 9, 30, 10, 20, u'BSB B136']
[2, u'mo', 14, 30, 15, 20, u'ITB AB102']
[2, u'we', 14, 30, 15, 20, u'ITB AB102']
[1, u'tu', 11, 30, 13, 20, u'LRW 1055']
[2, u'tu', 14, 30, 16, 20, u'CNH B107']
[2, u'fr', 14, 30, 15, 20, u'CNH B107']
[1, u'mo', 9, 30, 10, 20, u'DSB AB102']
[1, u'th', 9, 30, 10, 20, u'DSB AB102']
[1, u'th', 14, 30, 17, 20, u'LRW 1056']
[2, u'th', 13, 30, 16, 20, u'LRW 1056']
[1, u'mo', 10, 30, 11, 20, u'MDCL 1110']
[1, u'we', 10, 30, 11, 20, u'MDCL 1110']
[2, u'we', 19, 0, 21, 0, u'LRW 1055']
[1, u'tu', 19, 0, 22, 0, u'BSB B135']
[1, u'mo', 15, 30, 17, 20, u'KTH B124']
[1, u'we', 16, 30, 17, 20, u'KTH B124']
[1, u'we', 19, 0, 21, 0, u'CNH B107']
[2, u'we', 9, 30, 11, 20, u'BSB 106']
[1, u'mo', 12, 30, 14, 20, u'CNH B107']
[1, u'we', 13, 30, 14, 20, u'CNH B107']
[1, u'th', 19, 0, 22, 0, u'KTH B124']
[2, u'mo', 14, 30, 15, 20, u'TSH B106']
[2, u'we', 14, 30, 16, 20, u'TSH B106']
[2, u'we', 12, 30, 14, 20, u'BSB 106']
[1, u'mo', 19, 0, 22, 0, u'MDCL 1309']
[2, u'mo', 11, 30, 13, 20, u'IWC E201']
[2, u'we', 11, 30, 12, 20, u'IWC E201']
[2, u'tu', 9, 30, 10, 20, u'BSB 120']
[2, u'th', 9, 30, 11, 20, u'BSB 120']
[1, u'fr', 8, 30, 10, 20, u'DSB AB103']
[2, u'mo', 19, 0, 21, 0, u'TSH B106']
[1, u'we', 11, 30, 13, 20, u'HSC 1A4']
[1, u'th', 11, 30, 13, 20, u'KTH B132']
[2, u'mo', 19, 0, 22, 0, u'LRW 1055']
[2, u'tu', 14, 30, 16, 20, u'ETB 238']
[2, u'th', 14, 30, 15, 20, u'ETB 238']
[1, u'tu', 11, 30, 12, 20, u'BSB 108']
[1, u'th', 11, 30, 13, 20, u'BSB 108']
[1, u'tu', 19, 0, 22, 0, u'KTH 107']
[2, u'th', 8, 30, 11, 20, u'LRW 1056']
[1, u'th', 11, 30, 14, 20, u'GS 102']
[1, u'th', 14, 30, 17, 20, u'TSH 122']
[1, u'th', 11, 30, 14, 20, u'LRW 1056']
[2, u'tu', 14, 30, 17, 20, u'LRW 1056']
[2, u'th', 12, 30, 14, 20, u'KTH 712']
[1, u'fr', 14, 30, 17, 20, u'MDCL 1016']
[1, u'we', 19, 0, 22, 0, u'KTH 106']
[2, u'tu', 14, 30, 17, 20, u'KTH 104']
[2, u'tu', 11, 30, 14, 20, u'LRW 1056']
[1, u'tu', 14, 30, 17, 20, u'LRW 1056']
[2, u'tu', 19, 0, 22, 0, u'KTH 107']
[1, u'tu', 11, 30, 14, 20, u'LRW 1056']
[2, u'fr', 11, 30, 14, 20, u'KTH B101']
[2, u'we', 14, 30, 17, 20, u'LRW 1056']
[1, u'we', 11, 30, 14, 20, u'LRW 1056']
[2, u'mo', 19, 0, 22, 0, u'TSH 122']
[1, u'mo', 11, 30, 14, 20, u'ETB 237']
[3, u'mo', 13, 30, 14, 20, u'BSB 137']
[3, u'we', 13, 30, 14, 20, u'BSB 137']
[1, u'we', 11, 30, 13, 20, u'BSB 136']
[1, u'fr', 13, 30, 14, 20, u'BSB 136']
[2, u'tu', 13, 30, 15, 20, u'BSB 119']
[2, u'fr', 12, 30, 13, 20, u'BSB 119']
[1, u'tu', 11, 30, 13, 20, u'BSB 120']
[1, u'th', 14, 30, 15, 20, u'BSB 117']
[2, u'tu', 11, 30, 12, 20, u'LRW 1055']
[2, u'th', 11, 30, 13, 20, u'LRW 1055']
[3, u'mo', 9, 30, 10, 20, u'BSB 106']
[3, u'tu', 10, 30, 11, 20, u'BSB 106']
[3, u'th', 9, 30, 10, 20, u'BSB 106']
[3, u'th', 14, 30, 17, 20, u'BSB 137']
[3, u'tu', 9, 30, 10, 20, u'HSC 1A6']
[3, u'we', 9, 30, 10, 20, u'HSC 1A6']
[3, u'fr', 9, 30, 10, 20, u'HSC 1A6']
[1, u'th', 9, 30, 11, 20, u'KTH B132']
[2, u'mo', 12, 30, 13, 20, u'BSB 137']
[2, u'tu', 13, 30, 14, 20, u'BSB 137']
[2, u'th', 12, 30, 13, 20, u'BSB 137']
[1, u'mo', 11, 30, 13, 20, u'PC 335']
[1, u'th', 12, 30, 13, 20, u'PC 335']
[2, u'tu', 14, 30, 17, 20, u'MDCL 1010']
[1, u'we', 12, 30, 14, 20, u'ITB 139']
[1, u'fr', 12, 30, 13, 20, u'ITB 139']
[1, u'we', 8, 30, 11, 20, u'KTH B107']
[2, u'tu', 19, 0, 22, 0, u'KTH B107']
[1, u'fr', 11, 30, 14, 20, u'BSB 138']
[2, u'mo', 15, 30, 17, 20, u'KTH 104']
[2, u'th', 15, 30, 16, 20, u'KTH 104']
[2, u'th', 17, 0, 20, 0, u'SHERMAN CENTRE (MILLS)']
[2, u'fr', 16, 0, 18, 0, u'SHERMAN CENTRE (MILLS)']
[2, u'sa', 11, 0, 16, 0, u'SHERMAN CENTRE (MILLS)']
[2, u'tu', 9, 0, 16, 0, u'BSB 104']
[2, u'we', 9, 0, 16, 0, u'BSB 104']
[2, u'th', 9, 0, 16, 0, u'BSB 104']
[2, u'fr', 9, 0, 16, 0, u'BSB 104']
[2, u'mo', 10, 30, 11, 20, u'JHE 326H']
[2, u'we', 10, 30, 11, 20, u'JHE 326H']
[1, u'mo', 14, 30, 17, 20, u'LRW 2012']
[1, u'tu', 14, 30, 17, 20, u'MDCL 1008']
[2, u'mo', 11, 30, 14, 20, u'KTH B107']
[2, u'tu', 9, 30, 10, 20, u'BSB 138']
[2, u'fr', 9, 30, 11, 20, u'BSB 138']
